
TAMQFLHXC3W#show ap cdp neighbors
Number of neighbors: 146
AP Name                          AP IP                                     Neighbor Name                              Neighbor IP        Neighbor Port
TAMWAP354-621                    192.168.1.134                             TAMQFLHX30W.chtrse.com                     10.254.97.74       TenGigabitEthernet1/0/5
TAMWAP358-625                    192.168.0.109                             TAMQFLHX31W.chtrse.com                     10.254.97.75       TenGigabitEthernet1/0/4
TAMWAP359-626                    192.168.1.236                             TAMQFLHX31W.chtrse.com                     10.254.97.75       TenGigabitEthernet1/0/5
TAMWAP335-602                    192.168.2.250                             TAMQFLHX28W.chtrse.com                     10.254.97.72       TenGigabitEthernet1/0/2
TAMWAP355-622                    192.168.1.249                             TAMQFLHX31W.chtrse.com                     10.254.97.75       TenGigabitEthernet1/0/1
TAMWAP356-623                    192.168.0.104                             TAMQFLHX31W.chtrse.com                     10.254.97.75       TenGigabitEthernet1/0/2
TAMWAP339-606                    192.168.2.5                               TAMQFLHX28W.chtrse.com                     10.254.97.72       TenGigabitEthernet1/0/6
TAMWAP338-605                    192.168.2.3                               TAMQFLHX28W.chtrse.com                     10.254.97.72       TenGigabitEthernet1/0/5
TAMWAP058-133                    192.168.1.217                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet1/0/14
TAMWAP065-140                    192.168.1.225                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet2/0/7
TAMWAP353-620                    192.168.0.6                               TAMQFLHX30W.chtrse.com                     10.254.97.74       TenGigabitEthernet1/0/4
TAMWAP026-101                    192.168.0.96                              TAMQFLHX07W.chtrse.com                     10.254.97.51       TenGigabitEthernet1/0/1
TAMWAP066-141                    192.168.1.222                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet2/0/8
TAMWAP060-135                    192.168.0.22                              TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet2/0/2
TAMWAP067-142                    192.168.0.26                              TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet2/0/9
TAMWAP350-617                    192.168.1.251                             TAMQFLHX30W.chtrse.com                     10.254.97.74       TenGigabitEthernet1/0/1
TAMWAP357-624                    192.168.1.243                             TAMQFLHX31W.chtrse.com                     10.254.97.75       TenGigabitEthernet1/0/3
TAMWAP336-603                    192.168.2.9                               TAMQFLHX28W.chtrse.com                     10.254.97.72       TenGigabitEthernet1/0/3
TAMWAP351-618                    192.168.3.7                               TAMQFLHX30W.chtrse.com                     10.254.97.74       TenGigabitEthernet1/0/2
TAMWAP150-352                    192.168.3.165                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/8
TAMWAP149-351                    192.168.3.166                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/7
TAMWAP097-201                    192.168.3.160                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/1
TAMWAP334-601                    192.168.2.10                              TAMQFLHX28W.chtrse.com                     10.254.97.72       TenGigabitEthernet1/0/1
TAMWAP104-307                    192.168.3.212                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/8
TAMWAP422-349                    192.168.1.233                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/5
TAMWAP050-125                    192.168.1.193                             TAMQFLHX08W.chtrse.com                     192.168.1.175      TenGigabitEthernet1/0/6
TAMWAP136-339                    192.168.3.129                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/13
TAMWAP105-308                    192.168.2.101                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/9
TAMWAP121-324                    192.168.3.18                              TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/9
TAMWAP346-613                    192.168.1.31                              TAMQFLHX29W.chtrse.com                     192.168.3.193      TenGigabitEthernet1/0/7
TAMWAP159-361                    192.168.3.168                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/17
TAMWAP154-356                    192.168.0.53                              TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/12
TAMWAP008-151                    192.168.1.171                             TAMQFLHX04W.chtrse.com                     192.168.2.106      TenGigabitEthernet1/0/6
TAMWAP135-338                    192.168.3.128                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/12
TAMWAP112-315                    192.168.3.227                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/16
TAMWAP002-145                    192.168.3.187                             TAMQFLHX11W.chtrse.com                     192.168.1.62       TenGigabitEthernet1/0/6
TAMWAP151-353                    192.168.3.163                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/9
TAMWAP157-359                    192.168.3.169                             TAMQFLHX15W.chtrse.com                     192.168.0.191      TenGigabitEthernet1/0/15
TAMWAP419-343                    192.168.2.185                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/17
TAMWAP141-344                    192.168.3.229                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/18
TAMWAP131-334                    192.168.3.132                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/8
TAMWAP119-322                    192.168.3.16                              TAMQFLHX13W.chtrse.com                     192.168.1.211      TenGigabitEthernet1/0/7
TAMWAP098-301                    192.168.3.223                             TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/2
TAMWAP028-103                    192.168.1.187                             TAMQFLHX07W.chtrse.com                     10.254.97.51       TenGigabitEthernet1/0/3
TAMWAP107-310                    192.168.2.65                              TAMQFLHX12W.chtrse.com                     192.168.2.123      TenGigabitEthernet1/0/11
TAMWAP133-336                    192.168.3.126                             TAMQFLHX14W.chtrse.com                     10.254.97.58       TenGigabitEthernet1/0/10
TAMWAP347-614                    192.168.2.22                              TAMQFLHX29W.chtrse.com                     192.168.3.193      TenGigabitEthernet1/0/8
TAMWAP348-615                    192.168.2.213                             TAMQFLHX29W.chtrse.com                     192.168.3.193      TenGigabitEthernet1/0/9
